NODE_1_length_13580_cov_19.293107_g0_i0,tr|A0A7S8WJS0|A0A7S8WJS0_9VIRU RNA-directed DNA polymerase OS=Aedes aegypti To virus 2 OX=2789886 PE=4 SV=1,30.1,439,296,7,3888,5186,252,685,2.80e-47,194
NODE_1_length_13580_cov_19.293107_g0_i0,tr|A0A482JV36|A0A482JV36_9VIRU RdRP OS=Lampyris noctiluca errantivirus 1 OX=2552986 PE=4 SV=1,30.7,423,282,7,3888,5132,35,454,2.65e-45,188
NODE_1_length_13580_cov_19.293107_g0_i0,tr|A0A7S8ZX98|A0A7S8ZX98_9VIRU Putative RNA-dependent RNA polymerase OS=Aedes aegypti To virus 1 OX=2789885 PE=4 SV=1,29.6,389,267,4,4038,5189,14,400,4.18e-43,179
NODE_1_length_13580_cov_19.293107_g0_i0,tr|A0A6B9KG65|A0A6B9KG65_9VIRU RNA-directed DNA polymerase OS=Chibugado virus OX=2689361 PE=4 SV=1,27.0,440,306,7,3927,5213,220,655,4.01e-39,168
NODE_1_length_13580_cov_19.293107_g0_i0,tr|A0A8J9SL00|A0A8J9SL00_9VIRU RNA-directed DNA polymerase (Fragment) OS=Ceratitis capitata metavirus 2 OX=2812454 PE=4 SV=1,29.4,452,290,9,3975,5261,183,628,3.51e-37,161
NODE_2_length_13264_cov_19.797665_g0_i1,tr|A0A7S8WJS0|A0A7S8WJS0_9VIRU RNA-directed DNA polymerase OS=Aedes aegypti To virus 2 OX=2789886 PE=4 SV=1,30.1,439,296,7,3572,4870,252,685,2.72e-47,194
NODE_2_length_13264_cov_19.797665_g0_i1,tr|A0A482JV36|A0A482JV36_9VIRU RdRP OS=Lampyris noctiluca errantivirus 1 OX=2552986 PE=4 SV=1,30.7,423,282,7,3572,4816,35,454,2.57e-45,188
NODE_2_length_13264_cov_19.797665_g0_i1,tr|A0A7S8ZX98|A0A7S8ZX98_9VIRU Putative RNA-dependent RNA polymerase OS=Aedes aegypti To virus 1 OX=2789885 PE=4 SV=1,29.6,389,267,4,3722,4873,14,400,4.07e-43,179
NODE_2_length_13264_cov_19.797665_g0_i1,tr|A0A6B9KG65|A0A6B9KG65_9VIRU RNA-directed DNA polymerase OS=Chibugado virus OX=2689361 PE=4 SV=1,27.0,440,306,7,3611,4897,220,655,3.90e-39,168
NODE_2_length_13264_cov_19.797665_g0_i1,tr|A0A8J9SL00|A0A8J9SL00_9VIRU RNA-directed DNA polymerase (Fragment) OS=Ceratitis capitata metavirus 2 OX=2812454 PE=4 SV=1,29.4,452,290,9,3659,4945,183,628,3.42e-37,161
NODE_6_length_6959_cov_9.075951_g3_i0,tr|A0A1B2RW25|A0A1B2RW25_9VIRU RNA-dependent DNA polymerase OS=Lymphocystis disease virus 3 OX=2560566 GN=LCDVSa111L PE=4 SV=1,26.7,359,252,6,3389,2325,76,427,2.24e-27,125
NODE_6_length_6959_cov_9.075951_g3_i0,tr|A0A4D6QL09|A0A4D6QL09_9VIRU Putative RNA-dependent DNA polymerase (Fragment) OS=Erythrocytic necrosis virus OX=1543320 PE=2 SV=1,27.6,105,71,2,2753,2439,1,100,1.58e-04,49.3
NODE_22_length_5621_cov_50.075342_g12_i0,tr|A0A3T1CX39|A0A3T1CX39_9VIRU Ser/Thr protein kinase OS=Acanthamoeba castellanii medusavirus OX=2080449 PE=4 SV=1,34.5,200,123,7,2466,1870,1442,1634,6.10e-21,107
