NODE_6_length_9766_cov_307.243475_g5_i0,Tetranychus truncatus iflavirus 1 isolate TtIV-1 polyprotein gene, complete cds,74.269,1504,326,55,247,1715,9874,8397,4.01e-159,577
NODE_6_length_9766_cov_307.243475_g5_i0,Tetranychus truncatus iflavirus 1 isolate TtIV-1 polyprotein gene, complete cds,71.076,1459,336,57,8115,9517,1925,497,4.55e-69,278
NODE_7_length_9743_cov_314.983971_g6_i0,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,81.846,6814,1123,85,1952,8726,7481,743,0.0,5626
NODE_7_length_9743_cov_314.983971_g6_i0,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,82.369,1781,302,10,3,1777,9439,7665,0.0,1539
NODE_7_length_9743_cov_314.983971_g6_i0,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,88.655,238,27,0,9506,9743,244,7,5.83e-73,291
NODE_7_length_9743_cov_314.983971_g6_i0,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,81.846,6814,1123,85,1952,8726,7481,743,0.0,5626
NODE_7_length_9743_cov_314.983971_g6_i0,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,82.369,1781,302,10,3,1777,9439,7665,0.0,1539
NODE_7_length_9743_cov_314.983971_g6_i0,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,88.655,238,27,0,9506,9743,244,7,5.83e-73,291
NODE_7_length_9743_cov_314.983971_g6_i0,MAG: Picornavirales sp. isolate 107-k141_117452 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,76.073,5893,1260,122,23,5835,9359,3537,0.0,2933
NODE_7_length_9743_cov_314.983971_g6_i0,MAG: Picornavirales sp. isolate 107-k141_117452 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,77.100,2703,545,62,6052,8723,3350,691,0.0,1495
NODE_7_length_9743_cov_314.983971_g6_i0,Tetranychus truncatus picorna-like virus 1 isolate TtV-1 non-structural polyprotein and structural polyprotein genes, complete cds,74.621,3164,697,87,2010,5119,7252,4141,0.0,1297
NODE_7_length_9743_cov_314.983971_g6_i0,MAG: Picornaviridae sp. isolate RPGXC15-17/72 genomic sequence,71.526,878,219,25,6259,7119,1356,493,6.04e-48,207
NODE_8_length_9706_cov_313.466937_g6_i1,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,81.846,6814,1123,85,1952,8726,7481,743,0.0,5626
NODE_8_length_9706_cov_313.466937_g6_i1,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,82.369,1781,302,10,3,1777,9439,7665,0.0,1539
NODE_8_length_9706_cov_313.466937_g6_i1,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,88.655,238,27,0,9469,9706,244,7,5.81e-73,291
NODE_8_length_9706_cov_313.466937_g6_i1,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,81.846,6814,1123,85,1952,8726,7481,743,0.0,5626
NODE_8_length_9706_cov_313.466937_g6_i1,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,82.369,1781,302,10,3,1777,9439,7665,0.0,1539
NODE_8_length_9706_cov_313.466937_g6_i1,Hubei picorna-like virus 78 strain WHSF6879 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,88.655,238,27,0,9469,9706,244,7,5.81e-73,291
NODE_8_length_9706_cov_313.466937_g6_i1,MAG: Picornavirales sp. isolate 107-k141_117452 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,76.073,5893,1260,122,23,5835,9359,3537,0.0,2933
NODE_8_length_9706_cov_313.466937_g6_i1,MAG: Picornavirales sp. isolate 107-k141_117452 hypothetical protein 1 and hypothetical protein 2 genes, complete cds,77.100,2703,545,62,6052,8723,3350,691,0.0,1495
NODE_8_length_9706_cov_313.466937_g6_i1,Tetranychus truncatus picorna-like virus 1 isolate TtV-1 non-structural polyprotein and structural polyprotein genes, complete cds,74.621,3164,697,87,2010,5119,7252,4141,0.0,1297
NODE_8_length_9706_cov_313.466937_g6_i1,MAG: Picornaviridae sp. isolate RPGXC15-17/72 genomic sequence,71.526,878,219,25,6259,7119,1356,493,6.02e-48,207
NODE_15_length_8827_cov_17.999086_g13_i0,Aphis glycines virus 1 isolate North Dakota, complete genome,98.537,5400,79,0,1,5400,8677,3278,0.0,9537
NODE_15_length_8827_cov_17.999086_g13_i0,Aphis glycines virus 1 isolate North Dakota, complete genome,98.370,2700,43,1,5836,8535,2699,1,0.0,4741
NODE_15_length_8827_cov_17.999086_g13_i0,Aphis glycines virus 1 capsid polyprotein gene, partial cds; and non-structural polyprotein gene, complete cds,98.537,5400,79,0,1,5400,8289,2890,0.0,9537
NODE_15_length_8827_cov_17.999086_g13_i0,Aphis glycines virus 1 capsid polyprotein gene, partial cds; and non-structural polyprotein gene, complete cds,98.269,2311,40,0,5836,8146,2311,1,0.0,4047
NODE_15_length_8827_cov_17.999086_g13_i0,MAG: Aphis glycines virus 1 isolate PLE20SW, complete genome,98.093,5400,103,0,1,5400,8981,3582,0.0,9402
NODE_15_length_8827_cov_17.999086_g13_i0,MAG: Aphis glycines virus 1 isolate PLE20SW, complete genome,98.429,2992,47,0,5836,8827,3003,12,0.0,5265
NODE_15_length_8827_cov_17.999086_g13_i0,MAG: Aphis glycines virus 1 isolate POR19ST, complete genome,95.871,5401,221,2,1,5400,8978,3579,0.0,8737
