NODE_22_length_5372_cov_7.152293_g13_i0,tr|A0A7S8WJS0|A0A7S8WJS0_9VIRU RNA-directed DNA polymerase OS=Aedes aegypti To virus 2 OX=2789886 PE=4 SV=1,30.1,439,296,7,3233,1935,252,685,7.29e-48,194
NODE_22_length_5372_cov_7.152293_g13_i0,tr|A0A482JV36|A0A482JV36_9VIRU RdRP OS=Lampyris noctiluca errantivirus 1 OX=2552986 PE=4 SV=1,30.7,423,282,7,3233,1989,35,454,7.07e-46,188
NODE_22_length_5372_cov_7.152293_g13_i0,tr|A0A7S8ZX98|A0A7S8ZX98_9VIRU Putative RNA-dependent RNA polymerase OS=Aedes aegypti To virus 1 OX=2789885 PE=4 SV=1,29.6,389,267,4,3083,1932,14,400,1.22e-43,179
NODE_22_length_5372_cov_7.152293_g13_i0,tr|A0A6B9KG65|A0A6B9KG65_9VIRU RNA-directed DNA polymerase OS=Chibugado virus OX=2689361 PE=4 SV=1,27.0,440,306,7,3194,1908,220,655,1.12e-39,168
NODE_22_length_5372_cov_7.152293_g13_i0,tr|A0A8J9SL00|A0A8J9SL00_9VIRU RNA-directed DNA polymerase (Fragment) OS=Ceratitis capitata metavirus 2 OX=2812454 PE=4 SV=1,29.4,452,290,9,3146,1860,183,628,1.03e-37,161
NODE_25_length_5213_cov_9.470623_g15_i0,tr|A0A6B9XL24|A0A6B9XL24_9VIRU RNA-dependent DNA polymerase OS=Lymphocystis disease virus 4 OX=2704413 PE=4 SV=1,26.6,425,276,10,1972,3237,72,463,1.24e-31,137
NODE_25_length_5213_cov_9.470623_g15_i0,tr|A0A6F8X1J2|A0A6F8X1J2_9VIRU RNA-dependent DNA polymerase OS=Lymphocystis disease virus 2 OX=159183 PE=4 SV=1,27.7,339,232,6,2023,3036,92,418,8.61e-27,122
NODE_25_length_5213_cov_9.470623_g15_i0,tr|Q678G0|Q678G0_9VIRU RNA-dependent DNA polymerase OS=lymphocystis disease virus-China OX=256729 PE=4 SV=1,27.7,339,232,6,2023,3036,92,418,8.61e-27,122
NODE_25_length_5213_cov_9.470623_g15_i0,tr|A0A1B2RW25|A0A1B2RW25_9VIRU RNA-dependent DNA polymerase OS=Lymphocystis disease virus 3 OX=2560566 GN=LCDVSa111L PE=4 SV=1,24.7,344,246,6,2014,3036,89,422,7.45e-22,107
NODE_30_length_4869_cov_6.902002_g19_i0,tr|B9F769|B9F769_ORYSJ Protein kinase domain-containing protein OS=Oryza sativa subsp. japonica OX=39947 GN=OsJ_10239 PE=3 SV=1,37.4,318,182,7,1000,1941,66,370,1.68e-46,180
NODE_30_length_4869_cov_6.902002_g19_i0,tr|H2ED63|H2ED63_9VIRU Putative serine_threonine protein kinase receptor OS=Moumouvirus Monve OX=1128131 GN=mv_L131 PE=4 SV=1,27.6,283,167,8,1117,1956,1364,1611,2.86e-21,108
NODE_30_length_4869_cov_6.902002_g19_i0,tr|A0A1S5V1Y4|A0A1S5V1Y4_9VIRU Protein tyrosine kinase (PTK) family protein OS=Saudi moumouvirus OX=1956188 PE=4 SV=1,27.6,283,167,8,1117,1956,1364,1611,2.86e-21,108
NODE_30_length_4869_cov_6.902002_g19_i0,tr|L7RGQ5|L7RGQ5_9VIRU Protein Tyrosine Kinase (PTK) family protein OS=Acanthamoeba polyphaga moumouvirus OX=1269028 GN=Moumou_00787 PE=4 SV=1,27.2,283,168,8,1117,1956,1320,1567,1.43e-20,106
NODE_30_length_4869_cov_6.902002_g19_i0,tr|A0A3G4ZW58|A0A3G4ZW58_9VIRU Serine/threonine protein kinase OS=Faunusvirus sp OX=2487766 GN=Faunusvirus3_17 PE=4 SV=1,28.2,209,131,6,1090,1713,6,196,2.25e-12,77.4
NODE_32_length_4722_cov_6.892450_g21_i0,tr|A0A6B9XL24|A0A6B9XL24_9VIRU RNA-dependent DNA polymerase OS=Lymphocystis disease virus 4 OX=2704413 PE=4 SV=1,28.6,343,226,6,3031,2018,89,417,5.65e-33,141
